Y,X2,X3,X4,X5,X6,X7,Country,Year,Status,
63.5,44.7,35,241,0.35,6.3,5.6,Djibouti,2015,Developing,
63,44.5,34.4,252,0.38,6.3,5.6,Djibouti,2014,Developing,
62.7,44.3,33.8,256,0.53,6.3,5.6,Djibouti,2013,Developing,
62.2,44.1,33.2,263,0.52,6.3,5.6,Djibouti,2012,Developing,
61.8,43.5,32.7,268,0.39,5.9,5.6,Djibouti,2011,Developing,
61.3,43.2,32.2,273,0.44,5.5,5.6,Djibouti,2010,Developing,
69,42.9,31.7,279,0.49,5.3,5.7,Djibouti,2009,Developing,
62,41.6,31.3,289,0.49,5,5.7,Djibouti,2008,Developing,
59.8,41.3,30.9,296,0.45,4.5,5.8,Djibouti,2007,Developing,
59.1,41,30.6,309,1.02,4.3,5.8,Djibouti,2006,Developing,
58.6,40.9,30.2,318,1.23,4,5.9,Djibouti,2005,Developing,
58.1,40.3,29.8,326,1.18,3.7,6,Djibouti,2004,Developing,
58,39.8,29.4,325,1.02,3.5,6.1,Djibouti,2003,Developing,
57.9,39.4,29,322,1.03,3.3,6.2,Djibouti,2002,Developing,
57.7,39,28.6,323,0.95,2.9,6.3,Djibouti,2001,Developing,
57.4,39.4,28.2,325,1.34,2.9,6.4,Djibouti,2000,Developing,
86,85.7,58.8,71,9.36,19.2,1.1,Denmark,2015,Developed,
84,84.9,58.4,73,9.64,19.2,1.1,Denmark,2014,Developed,
81,84.2,58.1,75,9.5,18.7,1.1,Denmark,2013,Developed,
80,84.2,57.7,76,9.26,18.4,1.1,Denmark,2012,Developed,
79.7,83.9,57.4,79,10.47,16.9,1.1,Denmark,2011,Developed,
79.2,83.6,57,84,10.28,16.8,1.1,Denmark,2010,Developed,
78.9,82.9,56.6,86,10.08,16.8,1.1,Denmark,2009,Developed,
78.8,82.5,56.3,88,10.7,16.8,1.1,Denmark,2008,Developed,
78.4,82.3,55.9,93,10.99,16.7,1.2,Denmark,2007,Developed,
78.1,82.1,55.4,93,11.02,16.9,1.2,Denmark,2006,Developed,
78.1,81.9,55,92,11.28,16.6,1.2,Denmark,2005,Developed,
77.7,81,54.4,98,11.27,16.5,1.2,Denmark,2004,Developed,
77.3,80.4,53.9,101,11.54,16.3,1.2,Denmark,2003,Developed,
77,80.2,53.3,104,11.34,16.6,1.2,Denmark,2002,Developed,
77,80.2,52.8,112,11.56,16.2,1.3,Denmark,2001,Developed,
76.9,79.5,52.2,112,11.69,16.5,1.3,Denmark,2000,Developed,
76.1,63.9,64.5,147,9.32,12.6,2.5,Bahamas,2015,Developing,
75.4,63.2,63.8,161,9.45,12.6,2.5,Bahamas,2014,Developing,
74.8,63.1,63.2,172,9.42,12.6,2.5,Bahamas,2013,Developing,
74.9,62.6,62.6,167,9.5,12.6,2.5,Bahamas,2012,Developing,
75,62.3,62,162,9.34,12.6,2.5,Bahamas,2011,Developing,
75,62.1,61.3,161,9.19,12.6,2.5,Bahamas,2010,Developing,
74.6,61.5,60.7,168,9.29,12.6,2.5,Bahamas,2009,Developing,
74.5,61.6,60.1,167,10.15,12.6,2.5,Bahamas,2008,Developing,
74.4,60.5,59.4,167,10.75,12.5,2.5,Bahamas,2007,Developing,
74.2,60.2,58.7,171,11.07,12.4,2.5,Bahamas,2006,Developing,
74.1,59.9,58.1,172,10.49,12.4,2.6,Bahamas,2005,Developing,
73.8,59.6,57.4,174,10.1,12.3,2.6,Bahamas,2004,Developing,
73.2,56.7,56.7,180,10.68,12.2,2.6,Bahamas,2003,Developing,
73.1,58.2,56,183,10.85,12.1,2.6,Bahamas,2002,Developing,
72.9,56,55.2,189,11.64,12.1,2.7,Bahamas,2001,Developing,
72.6,57,54.4,192,12.15,12,2.7,Bahamas,2000,Developing,
87.5,88.7,63.6,56,6.49,16.3,0.4,Italy,2015,Developed,
86,88.5,63.1,57,7.56,16.3,0.4,Italy,2014,Developed,
84,88.1,62.6,58,6.65,16.5,0.4,Italy,2013,Developed,
83,88,62.1,58,6.79,16.6,0.4,Italy,2012,Developed,
83,87.9,61.5,59,6.98,16.4,0.4,Italy,2011,Developed,
80,87.5,61,60,6.95,16.4,0.5,Italy,2010,Developed,
79.8,87.2,60.5,61,7.25,16.3,0.5,Italy,2009,Developed,
